"vidid","adview"
"VID_3586",4
"VID_5788",4
"VID_12137",3
"VID_14347",4
"VID_19044",7
"VID_11039",5
"VID_3484",3
"VID_15142",9
"VID_3351",7
"VID_5895",3
"VID_16112",3
"VID_19247",14
"VID_11439",4
"VID_18883",3
"VID_12140",7
"VID_17446",12
"VID_5115",4
"VID_21486",3
"VID_17120",44
"VID_3959",3
"VID_15956",3
"VID_15739",2
"VID_2682",6
"VID_14621",5
"VID_9320",5
"VID_12110",5
"VID_11354",3
"VID_811",9
"VID_9472",5
"VID_4773",4
"VID_12695",4
"VID_19547",4
"VID_530",2
"VID_155",6
"VID_22955",9
"VID_20307",2
"VID_11612",7
"VID_15674",5
"VID_13000",7
"VID_1455",17
"VID_23534",4
"VID_18740",24
"VID_17988",5
"VID_21728",360
"VID_10905",4
"VID_18445",3
"VID_21983",5
"VID_16023",4
"VID_1444",7
"VID_1814",5
"VID_19094",9
"VID_19355",9
"VID_20430",69
"VID_13461",5
"VID_9066",3
"VID_3020",3
"VID_13577",3
"VID_5062",3
"VID_9293",3
"VID_16663",3
"VID_20444",3
"VID_22353",2
"VID_22384",6
"VID_23036",29
"VID_12705",6
"VID_11785",5
"VID_22988",14
"VID_9495",34
"VID_8909",4
"VID_13459",4
"VID_22206",4
"VID_12228",5
"VID_2335",3
"VID_17498",3
"VID_18702",3
"VID_10850",6
"VID_12956",104
"VID_6246",3
"VID_9539",3
"VID_17436",3
"VID_8383",2
"VID_4554",4
"VID_18487",3
"VID_6285",4
"VID_287",38
"VID_5371",4
"VID_10704",4
"VID_20810",2
"VID_7972",45
"VID_10923",4
"VID_11876",3
"VID_15477",3
"VID_12366",5
"VID_6538",4
"VID_10092",5
"VID_6826",3
"VID_22526",14
"VID_10897",4
"VID_3400",4
"VID_9995",4
"VID_19337",3
"VID_9673",22
"VID_12280",5
"VID_14038",3
"VID_11157",4
"VID_13406",6
"VID_7774",5
"VID_7386",6
"VID_2419",3
"VID_6334",3
"VID_1778",3
"VID_4907",3
"VID_7122",4
"VID_10445",3
"VID_18113",7
"VID_6716",3
"VID_5803",4
"VID_6459",4
"VID_14427",4
"VID_3872",6
"VID_6774",12
"VID_11609",4
"VID_21821",21
"VID_14317",275
"VID_4982",3
"VID_5798",3
"VID_4365",5
"VID_6535",3
"VID_7237",2
"VID_10388",4
"VID_17934",5
"VID_838",6
"VID_5439",4
"VID_11455",4
"VID_7473",4
"VID_16677",4
"VID_18433",3
"VID_10243",1080
"VID_23592",3
"VID_19401",2
"VID_2547",2
"VID_4525",9
"VID_13804",5
"VID_22266",3
"VID_7560",5
"VID_10381",4
"VID_4977",3
"VID_14081",3
"VID_19054",3
"VID_2608",7
"VID_8639",22
"VID_4407",3
"VID_9135",3
"VID_9462",3
"VID_10687",3
"VID_15274",3
"VID_22631",2
"VID_3777",4
"VID_10585",4
"VID_18024",5
"VID_10941",4
"VID_525",9
"VID_17097",3
"VID_13836",5
"VID_12202",8
"VID_20868",2
"VID_17084",4
"VID_23196",3
"VID_7322",4
"VID_17922",2
"VID_5486",4
"VID_15289",4
"VID_7993",6
"VID_14078",5
"VID_21530",20
"VID_11469",6
"VID_20959",225
"VID_18159",2
"VID_19624",7
"VID_19029",95
"VID_3489",4
"VID_15983",2
"VID_23605",3
"VID_23757",4
"VID_7488",4
"VID_15445",3
"VID_4538",3
"VID_22661",5
"VID_5912",5
"VID_3324",8
"VID_21241",15
"VID_18194",5
"VID_8640",88
"VID_10657",8
"VID_3622",4
"VID_14909",2
"VID_5961",3
"VID_117",3
"VID_4690",6
"VID_10717",6
"VID_20280",4
"VID_6395",4
"VID_9199",3
"VID_6343",4
"VID_7459",4
"VID_18041",3
"VID_12175",6
"VID_8174",3
"VID_15644",2
"VID_3021",24
"VID_251",5
"VID_20609",2
"VID_2033",3
"VID_20357",4
"VID_16428",4
"VID_12297",3
"VID_1214",35
"VID_19907",3
"VID_4697",4
"VID_22474",5
"VID_4002",5
"VID_17351",4
"VID_937",5
"VID_17501",3
"VID_2312",3
"VID_22996",4
"VID_14413",7
"VID_7938",5
"VID_616",8
"VID_22499",4
"VID_21393",11
"VID_23320",5
"VID_22780",2
"VID_10862",3
"VID_21132",4
"VID_1416",8
"VID_624",13
"VID_10127",9
"VID_15874",3
"VID_6946",5
"VID_8674",2
"VID_22878",7
"VID_560",4
"VID_13640",29
"VID_9765",6
"VID_22398",8
"VID_20560",5
"VID_4068",2
"VID_938",3
"VID_19068",3
"VID_8889",3
"VID_23347",3
"VID_16952",4
"VID_6032",4
"VID_5116",4
"VID_4210",4
"VID_22022",2
"VID_16770",5
"VID_18981",3
"VID_1668",6
"VID_23726",3
"VID_18550",3
"VID_5518",3
"VID_12958",9
"VID_16501",9
"VID_21485",3
"VID_14475",2
"VID_3865",4
"VID_21642",3
"VID_22934",5
"VID_14667",4
"VID_5519",3
"VID_17889",3
"VID_17728",3
"VID_8727",4
"VID_14785",6
"VID_16387",3
"VID_10703",2
"VID_7213",3
"VID_14454",3
"VID_13455",3
"VID_5467",4
"VID_21139",3
"VID_9033",5
"VID_3863",4
"VID_13990",3
"VID_2641",6
"VID_15745",3
"VID_5929",9
"VID_769",6
"VID_5499",8
"VID_8609",6
"VID_3903",3
"VID_19579",5
"VID_10506",3
"VID_23577",5
"VID_9042",4
"VID_10606",10
"VID_14849",3
"VID_10497",3
"VID_21208",16
"VID_12837",4
"VID_7924",3
"VID_21109",4
"VID_6848",7
"VID_8993",5
"VID_10584",5
"VID_19794",3
"VID_15209",4
"VID_6195",3
"VID_22498",2
"VID_9814",4
"VID_18155",10
"VID_20573",3
"VID_4092",9
"VID_15455",4
"VID_8989",4
"VID_1852",2
"VID_17278",4
"VID_12619",5
"VID_22663",3
"VID_15372",3
"VID_13978",7
"VID_17325",12
"VID_19025",4
"VID_21374",7
"VID_10207",5
"VID_11924",6
"VID_8975",5
"VID_8851",5
"VID_12210",3
"VID_8178",3
"VID_19252",14
"VID_5421",5
"VID_6757",4
"VID_8125",4
"VID_14709",6
"VID_5795",7
"VID_21888",3
"VID_14058",6
"VID_8028",4
"VID_22918",4
"VID_11731",4
"VID_22841",4
"VID_7453",3
"VID_11870",3
"VID_20484",10
"VID_1971",8
"VID_599",3
"VID_16812",2
"VID_5401",6
"VID_16289",6
"VID_12150",5
"VID_13299",4
"VID_19015",2
"VID_1604",3
"VID_18013",7
"VID_2240",20
"VID_8114",2
"VID_13586",4
"VID_2784",3
"VID_1539",4
"VID_6787",4
"VID_11544",13
"VID_5296",6
"VID_5684",4
"VID_7467",5
"VID_5869",6
"VID_19596",2
"VID_96",32
"VID_859",6
"VID_13559",6
"VID_20976",4
"VID_18524",3
"VID_3089",4
"VID_4453",3
"VID_15802",5
"VID_18291",3
"VID_3914",4
"VID_10582",15
"VID_11482",3
"VID_615",5
"VID_19069",10
"VID_911",6
"VID_3308",5
"VID_5668",4
"VID_16402",4
"VID_19375",20
"VID_8556",2
"VID_19966",5
"VID_17274",4
"VID_407",8
"VID_23383",3
"VID_6105",2
"VID_2643",5
"VID_18875",369
"VID_13188",4
"VID_13504",3
"VID_17900",6
"VID_6368",6
"VID_19648",3
"VID_23490",2
"VID_9098",4
"VID_12973",3
"VID_15207",2
"VID_17033",3
"VID_21758",5
"VID_21628",10
"VID_3935",10
"VID_5670",8
"VID_13844",4
"VID_20416",8
"VID_19885",3
"VID_15487",3
"VID_9890",4
"VID_17721",11
"VID_2585",4
"VID_19723",2
"VID_22716",156
"VID_10004",4
"VID_1529",3
"VID_8126",3
"VID_4224",3
"VID_22704",5
"VID_10705",4
"VID_10524",3
"VID_1133",4
"VID_3404",3
"VID_20344",4
"VID_9397",6
"VID_20601",10
"VID_9482",17
"VID_6673",4
"VID_3899",4
"VID_7008",3
"VID_2690",2
"VID_7483",3
"VID_1614",7
"VID_241",3
"VID_13499",2
"VID_11734",2
"VID_18937",6
"VID_11906",3
"VID_11525",3
"VID_4199",4
"VID_19984",3
"VID_15743",3
"VID_23097",3
"VID_16716",3
"VID_6805",4
"VID_6552",4
"VID_269",10
"VID_13646",4
"VID_10761",2
"VID_16502",3
"VID_10352",2
"VID_10226",9
"VID_23493",3
"VID_734",5
"VID_5364",3
"VID_5122",2
"VID_2104",5
"VID_5143",3
"VID_3850",2
"VID_23633",3
"VID_19158",11
"VID_23597",3
"VID_5716",4
"VID_23516",5
"VID_12921",5
"VID_17949",4
"VID_8164",3
"VID_2097",4
"VID_10400",3
"VID_998",5
"VID_11447",5
"VID_7866",4
"VID_11664",4
"VID_7094",5
"VID_19536",5
"VID_13747",4
"VID_6307",3
"VID_2424",4
"VID_6363",4
"VID_1524",6
"VID_20772",6
"VID_23466",3
"VID_10752",3
"VID_4918",4
"VID_23046",2
"VID_6694",4
"VID_4646",6
"VID_17016",3
"VID_11145",6
"VID_12387",7
"VID_22126",24
"VID_17930",3
"VID_12268",3
"VID_5192",6
"VID_16369",18
"VID_11841",3
"VID_13926",4
"VID_5622",4
"VID_5346",6
"VID_10544",9
"VID_6622",4
"VID_17583",4
"VID_13876",6
"VID_1033",4
"VID_10998",4
"VID_7037",3
"VID_22495",3
"VID_13170",6
"VID_7480",4
"VID_13753",4
"VID_13831",4
"VID_17763",8
"VID_2793",3
"VID_20514",14
"VID_22850",9
"VID_3953",4
"VID_2434",3
"VID_13670",2
"VID_12368",5
"VID_19664",3
"VID_4173",9
"VID_15859",3
"VID_14717",4
"VID_18425",9
"VID_5232",4
"VID_6288",4
"VID_7433",4
"VID_1003",5
"VID_13060",2
"VID_15297",3
"VID_9730",3
"VID_19022",5
"VID_1885",7
"VID_7425",3
"VID_20867",22
"VID_2501",3
"VID_19822",4
"VID_10604",4
"VID_18763",3
"VID_1818",5
"VID_16644",5
"VID_7528",5
"VID_8166",2
"VID_22357",5
"VID_3918",4
"VID_10589",4
"VID_3027",2
"VID_23607",3
"VID_9153",5
"VID_291",2
"VID_8213",4
"VID_9424",3
"VID_19769",7
"VID_22910",5
"VID_14626",3
"VID_2363",4
"VID_5125",3
"VID_16291",12
"VID_14392",6
"VID_1036",6
"VID_14153",4
"VID_13506",2
"VID_6149",3
"VID_2777",3
"VID_19018",11
"VID_8497",4
"VID_21395",3
"VID_7117",11
"VID_21328",9
"VID_7710",4
"VID_17750",4
"VID_1680",2
"VID_4028",4
"VID_20481",4
"VID_8880",4
"VID_21640",5
"VID_13074",3
"VID_8763",4
"VID_3983",5
"VID_432",7
"VID_14174",4
"VID_23234",3
"VID_23704",4
"VID_5492",7
"VID_6329",4
"VID_3504",3
"VID_5758",7
"VID_4794",5
"VID_20788",16
"VID_5213",4
"VID_6785",4
"VID_11456",5
"VID_22729",5
"VID_9741",132
"VID_16684",4
"VID_11853",4
"VID_3598",9
"VID_6772",4
"VID_2469",3
"VID_2206",3
"VID_6843",4
"VID_10634",3
"VID_8040",5
"VID_12369",1
"VID_2693",3
"VID_11067",4
"VID_11520",4
"VID_2821",3
"VID_3038",2
"VID_11250",4
"VID_22710",9
"VID_11733",5
"VID_7363",4
"VID_23723",3
"VID_11688",4
"VID_6034",3
"VID_22123",6
"VID_20388",3
"VID_6503",4
"VID_15018",4
"VID_22601",6
"VID_3210",6
"VID_11450",4
"VID_1040",10
"VID_13938",2
"VID_20462",14
"VID_22043",4
"VID_23262",3
"VID_13502",2
"VID_13855",4
"VID_1368",7
"VID_9381",5
"VID_12394",4
"VID_19290",4
"VID_5050",4
"VID_23326",3
"VID_5262",4
"VID_23088",4
"VID_13259",3
"VID_13056",3
"VID_17553",5
"VID_5220",3
"VID_16497",6
"VID_17882",136
"VID_14613",4
"VID_600",3
"VID_19476",2
"VID_814",3
"VID_21709",560
"VID_23117",2
"VID_22461",7
"VID_5566",6
"VID_3407",3
"VID_5958",6
"VID_15941",2
"VID_11387",4
"VID_11741",3
"VID_70",4
"VID_20781",28
"VID_11832",4
"VID_1723",4
"VID_6240",5
"VID_8963",5
"VID_14121",6
"VID_7960",2
"VID_14523",3
"VID_20941",225
"VID_23728",3
"VID_17575",4
"VID_13353",4
"VID_18877",3
"VID_19283",18
"VID_19494",6
"VID_12311",3
"VID_21019",14
"VID_23343",3
"VID_16495",3
"VID_2932",10
"VID_21207",5
"VID_12004",4
"VID_11129",5
"VID_15892",6
"VID_5645",3
"VID_8615",5
"VID_20982",4
"VID_12201",4
"VID_20427",4
"VID_17217",4
"VID_1642",2
"VID_11516",4
"VID_23022",7
"VID_7142",6
"VID_9909",3
"VID_9529",438
"VID_22664",30
"VID_435",288
"VID_15960",3
"VID_12952",8
"VID_21100",2
"VID_23229",4
"VID_10906",4
"VID_2945",2
"VID_10393",3
"VID_11026",4
"VID_13865",3
"VID_13079",6
"VID_20285",13
"VID_22600",14
"VID_15248",4
"VID_12096",6
"VID_12609",4
"VID_21464",6
"VID_2568",2
"VID_18864",4
"VID_3347",4
"VID_15238",3
"VID_17746",3
"VID_20055",5
"VID_7138",5
"VID_5665",5
"VID_8130",4
"VID_14441",2
"VID_8693",3
"VID_12944",3
"VID_3446",4
"VID_2862",4
"VID_5671",3
"VID_8484",4
"VID_5596",4
"VID_15925",4
"VID_18290",5
"VID_4102",3
"VID_18762",5
"VID_49",2
"VID_19899",2
"VID_6311",4
"VID_9972",4
"VID_12965",4
"VID_12420",3
"VID_7547",9
"VID_21893",2
"VID_21819",13
"VID_20945",534
"VID_3359",6
"VID_1671",19
"VID_7479",6
"VID_12766",4
"VID_8145",3
"VID_13652",4
"VID_21627",7
"VID_472",2
"VID_16667",6
"VID_20187",4
"VID_18033",5
"VID_1061",3
"VID_3719",3
"VID_14470",4
"VID_430",4
"VID_22153",6
"VID_19285",2
"VID_8843",4
"VID_11084",5
"VID_1246",4
"VID_22180",7
"VID_3111",6
"VID_7313",5
"VID_23081",3
"VID_10020",2
"VID_5656",6
"VID_15080",3
"VID_18949",5
"VID_10056",4
"VID_17696",3
"VID_23304",2
"VID_22199",12
"VID_4851",4
"VID_3917",4
"VID_6859",3
"VID_21622",3
"VID_20987",18
"VID_20279",7
"VID_12069",6
"VID_3742",3
"VID_5130",4
"VID_3029",2
"VID_23673",26
"VID_9586",1489
"VID_11637",4
"VID_15344",3
"VID_12885",4
"VID_4096",4
"VID_4138",5
"VID_12864",3
"VID_5340",6
"VID_11542",4
"VID_18608",5
"VID_15189",5
"VID_22317",9
"VID_22385",3
"VID_10936",3
"VID_11519",3
"VID_12576",4
"VID_20918",5
"VID_17112",2
"VID_2396",3
"VID_3125",4
"VID_9058",8
"VID_5939",8
"VID_7593",3
"VID_4754",4
"VID_2974",3
"VID_3590",4
"VID_3600",4
"VID_8459",8
"VID_4543",5
"VID_12434",4
"VID_12167",4
"VID_1322",9
"VID_19409",3
"VID_10523",4
"VID_4457",6
"VID_19478",102
"VID_20828",15
"VID_10775",4
"VID_12091",4
"VID_14378",5
"VID_1418",36
"VID_12458",5
"VID_15357",4
"VID_3555",4
"VID_19662",6
"VID_9393",2
"VID_19125",8
"VID_17044",5
"VID_14112",346
"VID_22607",4
"VID_9508",4
"VID_18141",2
"VID_13392",7
"VID_6306",3
"VID_16298",3
"VID_5832",6
"VID_20852",11
"VID_2052",3
"VID_11283",12
"VID_20392",20
"VID_22108",9
"VID_3064",2
"VID_4482",3
"VID_11672",4
"VID_3301",4
"VID_20106",10
"VID_16205",2
"VID_9532",2
"VID_11294",5
"VID_12690",11
"VID_21059",147
"VID_2388",3
"VID_17405",3
"VID_3099",24
"VID_20770",4
"VID_17262",4
"VID_4476",3
"VID_1163",10
"VID_22777",3
"VID_21090",131
"VID_6598",5
"VID_5743",5
"VID_21253",5
"VID_20611",9
"VID_1089",8
"VID_4371",3
"VID_17003",5
"VID_18424",13
"VID_1222",4
"VID_6479",4
"VID_13563",4
"VID_12946",9
"VID_8437",3
"VID_21515",3
"VID_14775",2
"VID_17802",4
"VID_8274",4
"VID_23680",3
"VID_6005",5
"VID_23105",2
"VID_9956",6
"VID_6750",3
"VID_16401",6
"VID_23075",4
"VID_14863",5
"VID_19341",6
"VID_19522",6
"VID_7749",10
"VID_17107",8
"VID_12774",4
"VID_8974",5
"VID_11208",4
"VID_6781",4
"VID_2411",2
"VID_8384",3
"VID_21496",6
"VID_18389",2
"VID_18660",18
"VID_1547",5
"VID_1065",5
"VID_7387",3
"VID_11746",4
"VID_7133",3
"VID_17890",4
"VID_12710",4
"VID_4806",3
"VID_1976",182
"VID_13114",2
"VID_19933",4
"VID_8961",5
"VID_4436",5
"VID_11471",10
"VID_6393",4
"VID_8690",2
"VID_1266",8
"VID_10199",408
"VID_16287",1900
"VID_11285",5
"VID_22078",3
"VID_22632",6
"VID_17811",4
"VID_308",2
"VID_8559",2
"VID_13391",5
"VID_23733",4
"VID_12814",2
"VID_7783",4
"VID_11619",4
"VID_4950",3
"VID_17844",3
"VID_15758",3
"VID_20079",5
"VID_10069",7
"VID_15577",4
"VID_9911",2
"VID_17668",4
"VID_22412",50
"VID_20668",4
"VID_5469",5
"VID_3477",3
"VID_15324",4
"VID_11267",4
"VID_8597",3
"VID_14548",14
"VID_1194",2
"VID_5600",5
"VID_714",29
"VID_15462",4
"VID_17243",3
"VID_2432",3
"VID_12784",4
"VID_4755",3
"VID_12103",5
"VID_5452",2
"VID_1077",3
"VID_13656",3
"VID_23047",3
"VID_2692",4
"VID_20623",3
"VID_19418",3
"VID_22232",8
"VID_6574",7
"VID_7327",6
"VID_13579",4
"VID_14575",4
"VID_5813",6
"VID_15008",5
"VID_575",6
"VID_20939",7
"VID_1973",5
"VID_6371",5
"VID_14854",4
"VID_14833",3
"VID_21299",5
"VID_16915",2
"VID_6309",4
"VID_10230",3
"VID_17533",14
"VID_13445",4
"VID_20091",5
"VID_14734",6
"VID_990",7
"VID_1433",4
"VID_17335",4
"VID_9492",16543
"VID_16368",6
"VID_21194",2
"VID_7536",4
"VID_11647",2
"VID_22540",9
"VID_12919",6
"VID_8573",4
"VID_332",3
"VID_23679",4
"VID_6675",4
"VID_6431",3
"VID_12138",4
"VID_14674",4
"VID_9043",7
"VID_1427",20
"VID_10326",4
"VID_6121",4
"VID_20413",11
"VID_19785",3
"VID_12681",4
"VID_20531",6
"VID_6356",4
"VID_3790",4
"VID_6591",5
"VID_1798",20
"VID_409",3
"VID_11941",3
"VID_22788",3
"VID_9094",4
"VID_7071",2
"VID_3436",5
"VID_20475",2
"VID_22614",5
"VID_15108",3
"VID_7007",5
"VID_18260",7
"VID_10317",3
"VID_21914",5
"VID_8034",4
"VID_9624",3
"VID_9860",6
"VID_609",3
"VID_9013",3
"VID_15684",2
"VID_11353",6
"VID_23124",3
"VID_7717",4
"VID_12993",7
"VID_390",3
"VID_2574",3
"VID_9826",6
"VID_20411",9
"VID_13748",6
"VID_22008",4
"VID_23133",3
"VID_18461",12
"VID_13349",3
"VID_8256",7
"VID_10201",3
"VID_773",5
"VID_11020",5
"VID_12745",3
"VID_19425",7
"VID_12029",7
"VID_1907",2
"VID_22849",6
"VID_2714",2
"VID_19918",5
"VID_6134",3
"VID_5853",6
"VID_10963",4
"VID_8466",4
"VID_14189",4
"VID_13934",4
"VID_5932",5
"VID_15673",2
"VID_7804",5
"VID_3722",18
"VID_19906",71
"VID_3043",2
"VID_1513",6
"VID_2110",14
"VID_17568",4
"VID_11373",4
"VID_22316",3
"VID_15689",5
"VID_22380",3
"VID_6587",5
"VID_7533",4
"VID_15710",2
"VID_821",37
"VID_13807",65
"VID_12586",10
"VID_7625",6
"VID_22652",4
"VID_9901",3
"VID_21380",5
"VID_7879",3
"VID_15339",4
"VID_10163",18
"VID_20937",10
"VID_21929",3
"VID_19609",3
"VID_64",3
"VID_17238",4
"VID_9551",4
"VID_9804",169
"VID_4537",3
"VID_10869",4
"VID_22949",4
"VID_7384",3
"VID_15761",4
"VID_3571",3
"VID_8563",5
"VID_16120",2
"VID_11440",4
"VID_3480",5
"VID_4673",4
"VID_4063",3
"VID_16045",3
"VID_2318",4
"VID_21811",10
"VID_685",10
"VID_18512",9
"VID_21188",3
"VID_16896",4
"VID_4347",5
"VID_2525",3
"VID_20174",9
"VID_7525",4
"VID_6181",4
"VID_8939",6
"VID_6809",4
"VID_16279",11
"VID_2836",3
"VID_19921",20
"VID_10241",6
"VID_5180",7
"VID_7716",10
"VID_5583",9
"VID_12564",5
"VID_2866",2
"VID_3702",4
"VID_10224",1570
"VID_19132",3
"VID_16745",5
"VID_9703",6
"VID_9081",5
"VID_14978",5
"VID_20905",6
"VID_18935",9
"VID_21108",17
"VID_18493",4
"VID_8814",4
"VID_7192",5
"VID_7355",7
"VID_2617",3
"VID_22856",8
"VID_2794",3
"VID_3468",4
"VID_17472",4
"VID_13767",9
"VID_17302",3
"VID_22238",9
"VID_23200",4
"VID_14721",2
"VID_13902",3
"VID_2880",4
"VID_23371",3
"VID_13147",4
"VID_16856",3
"VID_7893",7
"VID_4230",6
"VID_9663",4
"VID_22068",3
"VID_3623",4
"VID_14520",5
"VID_3215",4
"VID_12263",4
"VID_20214",60
"VID_2926",7
"VID_13776",6
"VID_16270",4
"VID_1102",7
"VID_2656",2
"VID_17831",4
"VID_17518",10
"VID_20006",10
"VID_4357",3
"VID_5530",5
"VID_2286",2
"VID_3113",3
"VID_2569",6
"VID_17384",6
"VID_14754",6
"VID_12427",4
"VID_7113",4
"VID_10799",28
"VID_6332",5
"VID_13405",4
"VID_4411",4
"VID_5731",4
"VID_16584",5
"VID_4568",3
"VID_3575",4
"VID_15944",1
"VID_15417",4
"VID_5761",4
"VID_11243",3
"VID_362",4
"VID_8932",4
"VID_22733",4
"VID_793",12
"VID_10956",6
"VID_4422",6
"VID_10549",5
"VID_3939",4
"VID_19790",4
"VID_18850",9
"VID_13900",5
"VID_14794",2
"VID_19774",2
"VID_12857",3
"VID_17928",8
"VID_3372",4
"VID_15175",6
"VID_4571",5
"VID_7559",3
"VID_21354",4
"VID_10061",4
"VID_7537",3
"VID_3488",4
"VID_13611",14
"VID_6878",5
"VID_4973",3
"VID_13113",6
"VID_5266",4
"VID_4629",8
"VID_11240",4
"VID_20165",4
"VID_6081",11
"VID_16533",2
